"industry","investor","Unicorn_Count"
"Hardware","	01 advisors",1
"Auto & transportation","	build capital partners",1
"Internet software & services","	frontier ventures",1
"Supply chain, logistics, & delivery","	fundersclub. bain capital ventures",1
"Health","	human capital",1
"Internet software & services","	iconiq capital",1
"Auto & transportation","	northzone ventures",1
"Fintech","	outrun ventures",1
"Internet software & services","	summit partners",1
"Data management & analytics",".406 ventures",1
"Internet software & services","/td>",1
"Fintech","01 advisors",1
"Fintech","10t fund",1
"Health","14w",1
"Internet software & services","14w",1
"Fintech","14w. forgelight",1
"Other","1955 capital",1
"Hardware","360 capital partners",1
"Other","3i group",1
"Cybersecurity","3l",1
"Internet software & services","3l",1
"E-commerce & direct-to-consumer","3one4 capital partners",1
"Consumer & retail","468 capital",1
"Internet software & services","500 global",1
"E-commerce & direct-to-consumer","500 startups",1
"Fintech","500 startups",1
"Other","500 startups",1
"E-commerce & direct-to-consumer","58.com",1
"Artificial intelligence","5y capital",1
"E-commerce & direct-to-consumer","5y capital",1
"Mobile & telecommunications","5y capital",1
"E-commerce & direct-to-consumer","83north",2
"Auto & transportation","83north",1
"Data management & analytics","83north",1
"Fintech","8vc",2
"Supply chain, logistics, & delivery","8vc",2
"Cybersecurity","8vc",1
"Health","8vc",1
"Internet software & services","8vc",1
"Other","8vc",1
"Internet software & services","a&e television networks",1
"Other","a&nn",1
"Fintech","a91 partners",1
"Internet software & services","accel",18
"Fintech","accel",12
"E-commerce & direct-to-consumer","accel",8
"Cybersecurity","accel",5
"Supply chain, logistics, & delivery","accel",4
"Health","accel",3
"Data management & analytics","accel",2
"Other","accel",2
"Edtech","accel",2
"Artificial intelligence","accel",1
"Auto & transportation","accel",1
"Hardware","accel",1
"Mobile & telecommunications","accel",1
"Auto & transportation","access industries",1
"Fintech","access industries",1
"Internet software & services","access industries",1
"Mobile & telecommunications","access industries",1
"Fintech","accomplice",2
"Artificial intelligence","accomplice",1
"E-commerce & direct-to-consumer","ace & company",1
"Cybersecurity","acero capital",1
"Fintech","activant capital",1
"Supply chain, logistics, & delivery","activant capital",1
"Artificial intelligence","activant capital group",1
"Fintech","acton capital partners",1
"Internet software & services","adams street partners",1
"Fintech","addition",2
"Internet software & services","addition",1
"Internet software & services","advance venture partners",1
"Fintech","advancit capital",1
"Cybersecurity","advantech capital",1
"Internet software & services","advent international",2
"Other","advent international",2
"Artificial intelligence","advent international",1
"Data management & analytics","advent international",1
"E-commerce & direct-to-consumer","advent international",1
"E-commerce & direct-to-consumer","affirma capital",1
"Health","afore capital",1
"E-commerce & direct-to-consumer","aglae ventures",2
"Artificial intelligence","aglae ventures",1
"Internet software & services","ainge advisory",1
"Internet software & services","airbus ventures",1
"Consumer & retail","ajinomoto",1
"Data management & analytics","aker",1
"Artificial intelligence","alaska permanent fund",1
"Edtech","aleph",1
"Fintech","aleph",1
"Hardware","aleph",1
"Internet software & services","aleph",1
"Supply chain, logistics, & delivery","aleph",1
"Other","alexandria venture investments",1
"Hardware","alibaba group",2
"Consumer & retail","alibaba group",1
